Current Age,Sex 0=Male/1=Female,Mortality_Rate
0,0,0.000458
1,0,0.000458
2,0,0.000458
3,0,0.000458
4,0,0.000458
5,0,0.000458
6,0,0.000458
7,0,0.000458
8,0,0.000458
9,0,0.000458
10,0,0.000458
11,0,0.000458
12,0,0.000458
13,0,0.000458
14,0,0.000458
15,0,0.000458
16,0,0.000458
17,0,0.000458
18,0,0.000459
19,0,0.000462
20,0,0.000464
21,0,0.000467
22,0,0.000471
23,0,0.000475
24,0,0.00048
25,0,0.000485
26,0,0.000492
27,0,0.0005
28,0,0.000508
29,0,0.000519
30,0,0.000531
31,0,0.000545
32,0,0.000561
33,0,0.000579
34,0,0.000601
35,0,0.000626
36,0,0.000654
37,0,0.000687
38,0,0.000726
39,0,0.000769
40,0,0.00082
41,0,0.000878
42,0,0.000944
43,0,0.001021
44,0,0.001108
45,0,0.001208
46,0,0.001322
47,0,0.001452
48,0,0.001601
49,0,0.00177
50,0,0.001963
51,0,0.002183
52,0,0.002432
53,0,0.002715
54,0,0.003036
55,0,0.0034
56,0,0.003812
57,0,0.004277
58,0,0.004802
59,0,0.005395
60,0,0.006064
61,0,0.006816
62,0,0.007662
63,0,0.008613
64,0,0.009679
65,0,0.010875
66,0,0.012214
67,0,0.013712
68,0,0.015385
69,0,0.017252
70,0,0.019333
71,0,0.021649
72,0,0.024224
73,0,0.027084
74,0,0.030255
75,0,0.033767
76,0,0.037652
77,0,0.041942
78,0,0.046672
79,0,0.051882
80,0,0.05761
81,0,0.063897
82,0,0.070787
83,0,0.078325
84,0,0.086556
85,0,0.095529
86,0,0.10529
87,0,0.115888
88,0,0.12737
89,0,0.139782
90,0,0.153168
91,0,0.167571
92,0,0.183029
93,0,0.199573
94,0,0.217232
95,0,0.236024
96,0,0.255963
97,0,0.277048
98,0,0.299269
99,0,0.322606
100,0,0.346759
101,0,0.370214
102,0,0.392528
103,0,0.413752
104,0,0.433932
105,0,0.45311
106,0,0.471326
107,0,0.488618
108,0,0.505018
109,0,0.520556
110,0,0.535256
111,0,0.549141
112,0,0.562225
113,0,0.574517
114,0,0.586017
115,0,0.596712
116,0,0.606569
117,0,0.615519
118,0,0.623412
119,0,0.62982
120,0,1
0,1,0.000179
1,1,0.000179
2,1,0.000179
3,1,0.000179
4,1,0.000179
5,1,0.000179
6,1,0.000179
7,1,0.000179
8,1,0.000179
9,1,0.000179
10,1,0.000179
11,1,0.000179
12,1,0.000179
13,1,0.000179
14,1,0.000179
15,1,0.000179
16,1,0.000179
17,1,0.000179
18,1,0.000184
19,1,0.000188
20,1,0.000194
21,1,0.000199
22,1,0.000206
23,1,0.000213
24,1,0.000221
25,1,0.00023
26,1,0.000241
27,1,0.000252
28,1,0.000265
29,1,0.000279
30,1,0.000295
31,1,0.000313
32,1,0.000333
33,1,0.000355
34,1,0.00038
35,1,0.000408
36,1,0.000439
37,1,0.000473
38,1,0.000512
39,1,0.000556
40,1,0.000604
41,1,0.000659
42,1,0.00072
43,1,0.000788
44,1,0.000864
45,1,0.000949
46,1,0.001044
47,1,0.00115
48,1,0.001269
49,1,0.001401
50,1,0.00155
51,1,0.001716
52,1,0.001901
53,1,0.002109
54,1,0.002341
55,1,0.0026
56,1,0.00289
57,1,0.003213
58,1,0.003576
59,1,0.00398
60,1,0.004433
61,1,0.004938
62,1,0.005503
63,1,0.006134
64,1,0.00684
65,1,0.007628
66,1,0.008508
67,1,0.009492
68,1,0.010591
69,1,0.011818
70,1,0.013188
71,1,0.014719
72,1,0.016427
73,1,0.018333
74,1,0.02046
75,1,0.022833
76,1,0.02548
77,1,0.028431
78,1,0.03172
79,1,0.035385
80,1,0.039466
81,1,0.044009
82,1,0.049064
83,1,0.054684
84,1,0.060928
85,1,0.067862
86,1,0.075555
87,1,0.084081
88,1,0.093522
89,1,0.103963
90,1,0.115495
91,1,0.128215
92,1,0.142221
93,1,0.157615
94,1,0.174502
95,1,0.192984
96,1,0.21316
97,1,0.235123
98,1,0.258956
99,1,0.284727
100,1,0.312189
101,1,0.33906
102,1,0.36454
103,1,0.388697
104,1,0.411593
105,1,0.433285
106,1,0.453826
107,1,0.473266
108,1,0.491649
109,1,0.509014
110,1,0.525398
111,1,0.540829
112,1,0.555332
113,1,0.568922
114,1,0.581604
115,1,0.59337
116,1,0.604189
117,1,0.613992
118,1,0.62262
119,1,0.629613
120,1,1
