Time_Period,YC
1,0.004082092
2,0.004082092
3,0.004082092
4,0.004082092
5,0.004082092
6,0.004082092
7,0.004082092
8,0.003800687
9,0.003757322
10,0.003713943
11,0.003670548
12,0.003627139
13,0.003583714
14,0.003540275
15,0.00349682
16,0.003453351
17,0.003409866
18,0.003366367
19,0.003322852
20,0.003687119
21,0.003676323
22,0.003665527
23,0.003654729
24,0.003643931
25,0.003633132
26,0.003622331
27,0.00361153
28,0.003600728
29,0.003589925
30,0.003579121
31,0.003568316
32,0.003762142
33,0.003762409
34,0.003762675
35,0.003762942
36,0.003763209
37,0.003763475
38,0.003763742
39,0.003764008
40,0.003764275
41,0.003764541
42,0.003764808
43,0.003765074
44,0.003762076
45,0.003762209
46,0.003762342
47,0.003762476
48,0.003762609
49,0.003762742
50,0.003762875
51,0.003763009
52,0.003763142
53,0.003763275
54,0.003763408
55,0.003763542
56,0.003962867
57,0.003969524
58,0.00397618
59,0.003982836
60,0.003989492
61,0.003996147
62,0.004002802
63,0.004009456
64,0.00401611
65,0.004022764
66,0.004029418
67,0.004036071
68,0.004042724
69,0.004049376
70,0.004056028
71,0.00406268
72,0.004069331
73,0.004075982
74,0.004082633
75,0.004089283
76,0.004095933
77,0.004102582
78,0.004109232
79,0.004115881
80,0.004139511
81,0.004146557
82,0.004153603
83,0.004160649
84,0.004167694
85,0.004174739
86,0.004181783
87,0.004188827
88,0.004195871
89,0.004202914
90,0.004209957
91,0.004217
92,0.004224042
93,0.004231083
94,0.004238125
95,0.004245166
96,0.004252206
97,0.004259246
98,0.004266286
99,0.004273325
100,0.004280364
101,0.004287403
102,0.004294441
103,0.004301479
104,0.004315769
105,0.004322938
106,0.004330107
107,0.004337276
108,0.004344444
109,0.004351612
110,0.004358779
111,0.004365946
112,0.004373113
113,0.004380279
114,0.004387445
115,0.00439461
116,0.0043213
117,0.00432714
118,0.00433298
119,0.00433882
120,0.004344659
121,0.004350498
122,0.004356337
123,0.004362175
124,0.004368014
125,0.004373852
126,0.004379689
127,0.004385527
128,0.004400206
129,0.004406176
130,0.004412145
131,0.004418113
132,0.004424082
133,0.00443005
134,0.004436018
135,0.004441985
136,0.004447953
137,0.00445392
138,0.004459886
139,0.004465853
140,0.004481456
141,0.004487554
142,0.004493652
143,0.004499749
144,0.004505846
145,0.004511943
146,0.00451804
147,0.004524136
148,0.004530232
149,0.004536328
150,0.004542424
151,0.004548519
152,0.004565044
153,0.004571271
154,0.004577497
155,0.004583724
156,0.004589949
157,0.004596175
158,0.0046024
159,0.004608625
160,0.00461485
161,0.004621074
162,0.004627298
163,0.004633521
164,0.004650968
165,0.004657324
166,0.004663678
167,0.004670033
168,0.004676387
169,0.004682741
170,0.004689094
171,0.004695447
172,0.0047018
173,0.004708153
174,0.004714505
175,0.004720857
176,0.004739224
177,0.004745707
178,0.00475219
179,0.004758673
180,0.004765155
181,0.004771637
182,0.004778118
183,0.004784599
184,0.00479108
185,0.004797561
186,0.004804041
187,0.00481052
188,0.004829808
189,0.004836419
190,0.004843029
191,0.00484964
192,0.004856249
193,0.004862859
194,0.004869468
195,0.004876077
196,0.004882685
197,0.004889294
198,0.004895901
199,0.004902509
200,0.004936314
201,0.004943184
202,0.004950054
203,0.004956923
204,0.004963792
205,0.004970661
206,0.004977529
207,0.004984397
208,0.004991264
209,0.004998131
210,0.005004998
211,0.005011864
212,0.00501873
213,0.005025595
214,0.005032461
215,0.005039325
216,0.00504619
217,0.005053054
218,0.005059917
219,0.005066781
220,0.005073644
221,0.005080506
222,0.005087368
223,0.00509423
224,0.005146629
225,0.005153884
226,0.005161139
227,0.005168394
228,0.005175647
229,0.005182901
230,0.005190154
231,0.005197407
232,0.005204659
233,0.005211911
234,0.005219162
235,0.005226413
236,0.004116491
237,0.004114503
238,0.004112514
239,0.004110526
240,0.004108537
241,0.004106548
242,0
